"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2016-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2016-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2016-07","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2016-08","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2016-09","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2016-10","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2016-11","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2016-12","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2017-01","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2017-02","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2017-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.2","","","","1"
"2017-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.2","","","","1"
"2017-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2017-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2017-07","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2017-08","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2017-09","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2017-10","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2017-11","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2017-12","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2018-01","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2018-02","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2018-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2018-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.5","","","","1"
"2018-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.5","","","","1"
"2018-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.5","","","","1"
"2018-07","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.6","","","","1"
"2018-08","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.6","","","","1"
"2018-09","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.7","","","","1"
"2018-10","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.7","","","","1"
"2018-11","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.7","","","","1"
"2018-12","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.7","","","","1"
"2019-01","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.8","","","","1"
"2019-02","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.8","","","","1"
"2019-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.8","","","","1"
"2019-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.8","","","","1"
"2019-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.9","","","","1"
"2019-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.9","","","","1"
"2019-07","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.0","","","","1"
"2019-08","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.0","","","","1"
"2019-09","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.1","","","","1"
"2019-10","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.1","","","","1"
"2019-11","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.1","","","","1"
"2019-12","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.1","","","","1"
"2020-01","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.0","","","","1"
"2020-02","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.0","","","","1"
"2020-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.0","","","","1"
"2020-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.0","","","","1"
"2020-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.9","","","","1"
"2020-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.9","","","","1"
"2020-07","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.9","","","","1"
"2020-08","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.9","","","","1"
"2020-09","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.9","","","","1"
"2020-10","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.9","","","","1"
"2020-11","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.9","","","","1"
"2020-12","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.9","","","","1"
"2021-01","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.9","","","","1"
"2021-02","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.8","","","","1"
"2021-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.8","","","","1"
"2021-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.9","","","","1"
"2021-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.9","","","","1"
"2021-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.9","","","","1"
"2021-07","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.0","","","","1"
"2021-08","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.1","","","","1"
"2021-09","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.2","","","","1"
"2021-10","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.3","","","","1"
"2021-11","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.4","","","","1"
"2021-12","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.5","","","","1"
"2022-01","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.5","","","","1"
"2022-02","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.6","","","","1"
"2022-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.6","","","","1"
"2022-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.6","","","","1"
"2022-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.7","","","","1"
"2022-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","69.7","","","","1"
"2006-03","North Coast and Nechako, British Columbia","","Labour force","Estimate","Persons","249","thousands","3","v1235065452","78.2.1","44.3","","","","1"
"2006-04","North Coast and Nechako, British Columbia","","Labour force","Estimate","Persons","249","thousands","3","v1235065452","78.2.1","43.9","","","","1"
"2006-05","North Coast and Nechako, British Columbia","","Labour force","Estimate","Persons","249","thousands","3","v1235065452","78.2.1","44.8","","","","1"
"2006-06","North Coast and Nechako, British Columbia","","Labour force","Estimate","Persons","249","thousands","3","v1235065452","78.2.1","45.5","","","","1"
"2006-07","North Coast and Nechako, British Columbia","","Labour force","Estimate","Persons","249","thousands","3","v1235065452","78.2.1","45.7","","","","1"
"2006-08","North Coast and Nechako, British Columbia","","Labour force","Estimate","Persons","249","thousands","3","v1235065452","78.2.1","45.3","","","","1"
"2006-09","North Coast and Nechako, British Columbia","","Labour force","Estimate","Persons","249","thousands","3","v1235065452","78.2.1","45.0","","","","1"
"2006-10","North Coast and Nechako, British Columbia","","Labour force","Estimate","Persons","249","thousands","3","v1235065452","78.2.1","44.5","","","","1"
"2006-11","North Coast and Nechako, British Columbia","","Labour force","Estimate","Persons","249","thousands","3","v1235065452","78.2.1","44.4","","","","1"
